doc_id,item,category,amount,price,discount
e3jtr4ul,тюльпан,цветы,1,10,0
e3jtr4ul,туфли,обувь,2,20,0
e3jtr4ul,футболка,одежда,1,15,2
e3jtr4ul,футболка,одежда,2,15,1
e3jtr4ul,яблоко,фрукты,2,5,0
2mbk4w8a,тюльпан,цветы,5,10,3
2mbk4w8a,тюльпан,цветы,2,10,3
8cw63nou,тюльпан,цветы,4,10,3
8cw63nou,кружка,посуда,3,7,3
8cw63nou,кружка,посуда,4,7,2
8cw63nou,кружка,посуда,3,7,2
nbb3hhg6,кружка,посуда,4,7,3
nbb3hhg6,яблоко,фрукты,5,5,2
nbb3hhg6,яблоко,фрукты,1,5,2
nbb3hhg6,футболка,одежда,2,15,1
yblazcpi,тюльпан,цветы,3,10,1
yblazcpi,тюльпан,цветы,2,10,1
yblazcpi,тюльпан,цветы,1,10,0
iy1fxk64,кружка,посуда,2,7,1
iy1fxk64,яблоко,фрукты,3,5,3
iy1fxk64,яблоко,фрукты,5,5,1
iy1fxk64,туфли,обувь,5,20,0
6rhalxe9,туфли,обувь,2,20,2
6rhalxe9,тюльпан,цветы,1,10,2
iv1x27ro,кружка,посуда,4,7,2
iv1x27ro,футболка,одежда,3,15,1
iv1x27ro,туфли,обувь,4,20,3
auzpkbm8,туфли,обувь,2,20,3
auzpkbm8,туфли,обувь,2,20,1
auzpkbm8,яблоко,фрукты,4,5,1
hat6ef0r,яблоко,фрукты,3,5,0
hat6ef0r,кружка,посуда,4,7,1
