doc_id,item,category,amount,price,discount
yjcwn1r2,кружка,посуда,3,7,3
yjcwn1r2,туфли,обувь,4,20,3
yjcwn1r2,кружка,посуда,1,7,2
yjcwn1r2,яблоко,фрукты,3,5,3
9o1ilfie,яблоко,фрукты,2,5,1
9o1ilfie,туфли,обувь,4,20,0
016zedp9,тюльпан,цветы,3,10,3
016zedp9,туфли,обувь,2,20,0
016zedp9,туфли,обувь,1,20,0
016zedp9,яблоко,фрукты,2,5,0
91rdzvk7,яблоко,фрукты,1,5,0
ei3hfm12,яблоко,фрукты,3,5,0
qqtiezk2,яблоко,фрукты,2,5,3
qqtiezk2,туфли,обувь,2,20,2
qqtiezk2,туфли,обувь,5,20,3
xwkev9sl,туфли,обувь,5,20,0
xwkev9sl,туфли,обувь,1,20,0
xwkev9sl,яблоко,фрукты,3,5,0
xwkev9sl,яблоко,фрукты,3,5,1
xwkev9sl,туфли,обувь,5,20,2
gsbgmgd9,туфли,обувь,3,20,3
gsbgmgd9,туфли,обувь,3,20,2
