doc_id,item,category,amount,price,discount
nhtijaw5,тюльпан,цветы,4,10,1
nhtijaw5,кружка,посуда,3,7,2
dva31l42,футболка,одежда,3,15,3
dva31l42,футболка,одежда,4,15,3
dva31l42,тюльпан,цветы,2,10,2
dva31l42,кружка,посуда,3,7,2
rqktcppu,туфли,обувь,5,20,0
rqktcppu,футболка,одежда,1,15,1
rqktcppu,тюльпан,цветы,1,10,3
rqktcppu,футболка,одежда,1,15,3
6r575hs0,кружка,посуда,4,7,2
6r575hs0,яблоко,фрукты,3,5,1
6r575hs0,кружка,посуда,4,7,2
6r575hs0,яблоко,фрукты,1,5,2
6r575hs0,тюльпан,цветы,4,10,0
2nqjodr8,футболка,одежда,4,15,2
2nqjodr8,футболка,одежда,2,15,3
2nqjodr8,яблоко,фрукты,5,5,3
m00tho9v,туфли,обувь,5,20,2
m00tho9v,футболка,одежда,4,15,3
m00tho9v,кружка,посуда,1,7,1
m00tho9v,тюльпан,цветы,4,10,0
m00tho9v,тюльпан,цветы,2,10,3
